"GeneID","padj","pvalue","lfcSE","stat","log2FoldChange","baseMean","Symbol","Description"
91862,1.13e-12,2.75e-14,0.2131,-7.60942787,-1.62,161.35,"MARVELD3","MARVEL domain containing 3"
8214,1.22e-12,2.99e-14,0.1672,-7.59858914,-1.27,506.92,"DGCR6","DiGeorge syndrome critical region gene 6"
102724770,3.63e-12,9.55e-14,0.1707,-7.44695756,-1.27,616.26,"LOC102724770","replaced by ID 8214"
8123,4.81e-12,1.29e-13,0.1364,-7.4067831,-1.01,186.7,"PWAR5","Prader Willi/Angelman region RNA 5"
57447,1.19e-11,3.44e-13,0.144,-7.27578703,-1.05,23720.16,"NDRG2","NDRG family member 2"
230,1.51e-11,4.51e-13,0.1635,-7.23936151,-1.18,14594.97,"ALDOC","aldolase, fructose-bisphosphate C"
1363,1.99e-11,6.04e-13,0.1422,-7.19954998,-1.02,26064.34,"CPE","carboxypeptidase E"
100188954,4.08e-11,1.32e-12,0.1494,-7.09258845,-1.06,76.95,"DNMBP-AS1","DNMBP antisense RNA 1"
401562,4.76e-11,1.58e-12,0.181,-7.06764164,-1.28,196.73,"LCNL1","lipocalin like 1"
101929372,7.55e-11,2.62e-12,0.1582,-6.99667594,-1.11,284.1,"LOC101929372","uncharacterized LOC101929372"
3745,1.07e-10,3.82e-12,0.1501,-6.94372624,-1.04,1650.96,"KCNB1","potassium voltage-gated channel subfamily B member 1"
729732,1.1e-10,3.93e-12,0.2171,-6.93956679,-1.51,399.51,"LOC729732","uncharacterized LOC729732"
105370917,1.1e-10,3.94e-12,0.205,-6.93927478,-1.42,36.81,"LOC105370917","uncharacterized LOC105370917"
3767,1.11e-10,4e-12,0.2096,-6.93702467,-1.45,495.29,"KCNJ11","potassium inwardly rectifying channel subfamily J member 11"
105376243,1.33e-10,4.9e-12,0.2043,-6.90845284,-1.41,18.17,"LOC105376243","uncharacterized LOC105376243"
117,1.57e-10,5.87e-12,0.1686,-6.88267265,-1.16,12413.35,"ADCYAP1R1","ADCYAP receptor type I"
105372850,2.21e-10,8.64e-12,0.1591,-6.82753412,-1.09,65.42,"LOC105372850","uncharacterized LOC105372850"
5923,2.9e-10,1.16e-11,0.202,-6.78453658,-1.37,916.06,"RASGRF1","Ras protein specific guanine nucleotide releasing factor 1"
