"","AA","AO","AOA","AST","OA","OD","pGBM","rAA","rAO","rAOA","rAST","rGBM","rOA","sGBM"
"AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AOA",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AST",0,0,0,7,1,0,2,0,0,1,1,0,0,1
"OA",1,1,0,1,5,3,1,0,0,1,0,0,0,0
"OD",0,1,0,0,2,2,0,0,0,1,0,1,0,0
"pGBM",0,0,3,0,0,0,12,1,0,0,0,4,1,4
"rAA",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"rAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rAOA",0,1,1,0,1,1,1,1,0,0,1,0,0,1
"rAST",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"rGBM",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"rOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sGBM",2,0,0,1,0,0,0,1,0,0,0,1,0,0
