"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"107985721",6.1590952499347,2.24354139202999,0.360100581976947,6.23031870627084,0.000276869132794343,0.0187669120881035,"107985721"
"57085",411.535964214909,-1.66751027406025,0.20717312191751,-8.04887361172361,0.0006365120256102,0.0325910776535051,"57085"
"5351",2339.69225720547,-1.77942916266578,0.23978312997916,-7.42099397409831,0.000575892244243544,0.0306443778051595,"5351"
"10630",1800.54742134163,-3.9479399588804,0.494270230777955,-7.98741197232646,1.22897262356822e-09,2.04369954148572e-06,"10630"
"101927417",13.0544829306909,-2.43161007024444,0.46073460093035,-5.27768061121163,0.000944235274977817,0.0428236449073576,"101927417"
"5320",348.555618955473,-8.43303015843683,1.10725911974169,-7.61613068529449,9.53318217255899e-12,3.96326160187186e-08,"5320"
"712",2607.71917697541,-2.08952563982951,0.342577942704424,-6.09941674392138,0.000735427971149303,0.0360403051323148,"712"
"714",3649.75399971421,-2.1556187068728,0.331260255668402,-6.50732670154857,0.000242821957118488,0.0173055739953245,"714"
"713",4007.28141715831,-2.28713406289976,0.348128642905492,-6.56979570486148,0.000108954812805915,0.00940404446585033,"713"
"9064",403.406153876699,-1.78558949479394,0.257688530420151,-6.92925483288916,0.00114954832221293,0.0492686140021981,"9064"
"7805",5036.9962689967,-2.0116509823156,0.307878914778206,-6.53390305654669,0.000508334367338509,0.0283666497961784,"7805"
"90853",987.996204985604,-4.70145993814556,0.590363160424579,-7.96367431660938,1.80754116020857e-10,5.63591333753032e-07,"90853"
"80149",125.162070258743,-2.14937375994882,0.356886215986929,-6.0225743210759,0.000639700239615117,0.0325910776535051,"80149"
"2275",358.354858974408,-1.68348686593175,0.218220094449355,-7.71462806933418,0.000867807697353537,0.0405366951363045,"2275"
"343521",36.4116597582157,-2.23214723189489,0.354179785062824,-6.30229992233733,0.000251761612937164,0.0175434360740725,"343521"
"149478",73.5580853550349,-2.20134232965235,0.327952169102217,-6.71238838175281,0.000124559834142302,0.0104262432981395,"149478"
"391037",4.37486219939182,-2.94319253616669,0.622573391032369,-4.72746278360243,0.000900497537153645,0.0412904606006627,"391037"
"63950",131.528407757843,-3.15265792642827,0.614727397743683,-5.12854630849364,0.000231055401842008,0.0165616262745605,"63950"
"101926925",7.73745166131858,-3.23061311242691,0.533498346242066,-6.05552601087366,1.45047318206463e-05,0.0022333705588531,"101926925"
"200132",147.141428110337,-3.42685169629996,0.677912268181462,-5.05500764205475,0.000171869134351826,0.0134391965118243,"200132"
"79819",161.678051256136,-2.07997895669982,0.316145511462592,-6.57918231094649,0.000317645695360384,0.0204210160439934,"79819"
"9077",218.936663853252,-3.01538931512385,0.425685611672996,-7.08360638094627,1.09822320534054e-06,0.000287220318787219,"9077"
"3491",2198.1021539467,-3.66858142252559,0.462679443443335,-7.92899160425936,4.01879721501624e-09,4.35847294484196e-06,"3491"
"2635",686.691150532252,-2.37912364556539,0.356845612213236,-6.66709513621179,5.55986054471903e-05,0.00578236702841893,"2635"
"2633",1118.82050082917,-3.102653333241,0.398095492259078,-7.79374143533837,6.39669251993703e-08,3.25630812688386e-05,"2633"
"2634",1091.78914324168,-2.68305598757428,0.421455901763396,-6.36616067386461,3.25617166642364e-05,0.00408150482649605,"2634"
"112268267",196.411208930219,-2.40806075518034,0.381122395595775,-6.31833968039593,0.000110155323611754,0.00947487721438483,"112268267"
"105378842",34.4385907320265,-2.62796648118227,0.502368841397316,-5.23114943568693,0.000596433722272012,0.0314533673749536,"105378842"
"115362",142.49251761819,-2.83398826437946,0.467407195866124,-6.06321059975975,4.35908819141589e-05,0.00494241344757627,"115362"
"1806",603.79766373984,-3.05896755882305,0.375022237340725,-8.15676313093894,2.00677401372974e-08,1.47226385289631e-05,"1806"
"100873932",21.5267360267556,-3.28494475703372,0.429615270959881,-7.64624765245013,5.2289068137625e-08,2.83543155570634e-05,"100873932"
"391059",78.6913380503819,-2.56536904588468,0.387703773849168,-6.61682763728452,2.70074518076283e-05,0.00350598390532153,"391059"
"148867",280.832724384659,-1.52996480385657,0.170870758514316,-8.9539299594575,0.000962540322317996,0.0434956626809784,"148867"
"1117",2717.67713257554,-3.55737831917829,0.625390422378145,-5.68825199728964,2.16384315597234e-05,0.00298203887749028,"1117"
"56944",967.995444880889,-2.02881882995011,0.296725777573065,-6.83735281290329,0.00026291824321129,0.018166849469979,"56944"
"965",163.435835241221,-2.17397450431371,0.271232043797348,-8.0151831394155,7.51312817475694e-06,0.0013882034754899,"965"
"101927333",24.4703622533201,3.44105512585094,0.696854389080044,4.93798299870604,0.000230056797413595,0.0165616262745605,"101927333"
"101929826",28.1236083446314,3.48656770877387,0.70391183446478,4.95313125602567,0.000205826141366722,0.0152116497685301,"101929826"
"105371441",6.37186342095621,-3.04400323995933,0.62386355811187,-4.87927720793957,0.000525767329902164,0.0288236050045705,"105371441"
"6282",1306.84826900679,-2.75089436893321,0.355968856238478,-7.72790742988559,4.35664649006965e-07,0.000146854310876077,"6282"
"101928034",40.5977871165148,-2.33298965759878,0.416442928381206,-5.60218339321444,0.000685009684508223,0.0340376126899863,"101928034"
"6274",37.1080610724039,-2.71031312764854,0.50206599427431,-5.39832045698702,0.000328946978799593,0.020878507478822,"6274"
"107985206",18.8567449629017,3.2215040092236,0.513956849212608,6.26804373588757,7.71862324812754e-06,0.00140535283431601,"107985206"
"112770",455.37298474754,-1.70815232033579,0.215691316208494,-7.91943018551863,0.000513224763228568,0.0285119788284486,"112770"
"8407",3096.61289836875,-2.48714145272156,0.345608710291283,-7.19640847774169,8.42645456468839e-06,0.0014907055507914,"8407"
"2207",741.83721162901,-2.05601076120991,0.334424541680013,-6.14790634347988,0.000795108730279304,0.038362073826087,"2207"
"2212",972.794771437052,-2.5250842306911,0.354345233914395,-7.12605670689259,8.38897068275357e-06,0.0014907055507914,"2212"
