"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"9636",792.64584165321,-2.11463466536036,0.34383856437453,-6.15007996327301,0.000594015180235201,0.0109351399673704,"9636"
"54587",908.874948597831,-1.67165943678902,0.233523354266017,-7.15842508362034,0.00201248484669576,0.0304054645766076,"54587"
"105378589",39.6522398672194,2.5505519220104,0.440087237325282,5.79555984743364,0.000213117913111972,0.00465093020530624,"105378589"
"2563",398.073408792963,2.2828936876408,0.404409097678253,5.64501071006336,0.000756269044148131,0.0134266014499865,"2563"
"106614088",117.099262619226,-1.74603866753132,0.274325179842308,-6.36485016991517,0.00326862613195175,0.0449959217634682,"106614088"
"9563",1351.84364108596,-1.45651964202361,0.13843165877773,-10.5215790584597,0.000487231119070309,0.00930589053146232,"9563"
"101929074",9.81211744191257,-2.28284673063852,0.409794184356034,-5.57071529510812,0.000872646227264531,0.015135217176343,"101929074"
"374946",488.94479163829,-3.19921639298886,0.326567288067163,-9.79649986354695,8.23356958817942e-12,1.51013352799667e-09,"374946"
"57085",411.535964214909,-1.56787384310195,0.160224054276255,-9.78550848799928,0.000196867072492292,0.00438842918342068,"57085"
"5351",2339.69225720547,-2.05967486971518,0.185583866278857,-11.0983509020139,5.65041971864109e-09,5.23955648556816e-07,"5351"
"7133",787.372447813315,-1.81788311582523,0.226816468827503,-8.01477566960868,0.000155521642011841,0.00358325954439807,"7133"
"10630",1800.54742134163,-5.33970898846938,0.383248484971315,-13.9327595485969,5.01990588513601e-30,4.17388441329442e-26,"10630"
"107984919",2.74721639921003,-3.70998253583733,0.583036919618236,-6.36320344561811,1.67546939742398e-06,7.30095548232338e-05,"107984919"
"54751",373.794967371778,-3.19817176816625,0.309520170059706,-10.3326764376917,6.15403390529565e-13,1.51986358152173e-10,"54751"
"4237",96.2324928115075,-2.71101123318824,0.462394239462758,-5.8629866071387,0.000107659680917952,0.00260724570953146,"4237"
"105376806",20.2920283630844,-3.10964958457193,0.495886040170717,-6.27089559428085,1.04850482751979e-05,0.000356320223673754,"105376806"
"5320",348.555618955473,-7.27646191648732,0.845515614361989,-8.60594623314912,5.71464446846961e-14,1.90061455495341e-11,"5320"
"5322",183.659728667408,-2.40851228607419,0.450645888597374,-5.34457840849415,0.000887391071325436,0.0153609180313266,"5322"
"1650",2234.38769657732,-1.33738486459484,0.109671044269327,-12.1945119927054,0.00104781149645293,0.0176957413456479,"1650"
"1889",2260.58735846144,-1.76422053203356,0.184103109783158,-9.58278507142825,1.65479402260634e-05,0.00052582397579481,"1889"
"401944",320.730785999173,-2.64495259956788,0.322376299464448,-8.2045504088292,1.67522234670828e-07,1.00448909173777e-05,"401944"
"3339",1928.8092235641,-2.50867486115285,0.298430013068224,-8.40624183660559,2.14775837727609e-07,1.24589965029709e-05,"3339"
"712",2607.71917697541,-2.23207029645313,0.265084428006027,-8.4202241272444,1.67713578069728e-06,7.30095548232338e-05,"712"
"714",3649.75399971421,-2.11753896423923,0.256299904450708,-8.26195768109026,6.49485045115338e-06,0.00023719992628634,"714"
"713",4007.28141715831,-2.27235550586845,0.269353450651597,-8.43633337672622,1.1577355011247e-06,5.260210262305e-05,"713"
"80818",1077.00473968741,-1.75809591738002,0.178553806479386,-9.8463088076646,1.08928744503126e-05,0.000367675047751822,"80818"
