"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"100130417",55.0796195028223,2.2645343690167,0.300167216757715,7.54424281731124,4.54922832741236e-14,1.32731671152827e-12,"100130417"
"107985728",44.0832157352595,2.34098984355915,0.322198446750724,7.26567699865514,3.71174554159492e-13,8.69612906295723e-12,"107985728"
"84069",17.7625390358807,-1.56323732416418,0.436554894873621,-3.58084937890051,0.000342479051942487,0.00111285733894598,"84069"
"254099",3.09678887350431,-2.46186193260228,0.71095235011624,-3.46276643181469,0.0005346522902259,0.00165398782719126,"254099"
"7293",37.0313944617468,-2.06866873787941,0.271857720296157,-7.6093801405597,2.75413588339738e-14,8.46896784144695e-13,"7293"
"105378589",39.6522398672194,2.82836771917151,0.374089931820171,7.56066250008336,4.01021538118857e-14,1.18941281731423e-12,"105378589"
"2563",398.073408792963,1.60263005948326,0.343303311684265,4.66826274299736,3.03757286826158e-06,1.59386822271894e-05,"2563"
"388585",139.004829604438,2.11253608031745,0.36536259563759,5.78202614482441,7.38062336021967e-09,6.83374912747719e-08,"388585"
"440556",108.116668969468,1.61053864958805,0.302060225962332,5.33184613915004,9.72192960283829e-08,7.03816092309344e-07,"440556"
"7161",137.865724654279,-1.70789997739338,0.318623187654541,-5.3602501122584,8.31068107435879e-08,6.11171188504721e-07,"7161"
"26038",861.144997286774,1.69771053532197,0.389564308067605,4.35797248403811,1.31272882837642e-05,5.96072959855613e-05,"26038"
"54626",6.84354860857769,-2.75741308821915,0.497791106375924,-5.5392976148047,3.0368717300061e-08,2.46127859978401e-07,"54626"
"10911",16.6840801635059,-1.50032714215485,0.352167469343822,-4.26026613119703,2.04183633759199e-05,8.8532499365575e-05,"10911"
"3604",13.7017235475512,-1.61972451454888,0.380875226737147,-4.25263813670585,2.11266814754982e-05,9.12725019943529e-05,"3604"
"80045",45.6848958666219,-1.86995278376151,0.285142461067631,-6.55795975373162,5.45489253477056e-11,7.95780020246877e-10,"80045"
"101929074",9.81211744191257,-2.5503868809594,0.355700408413945,-7.17004203714998,7.49747412286118e-13,1.63446238654068e-11,"101929074"
"57540",598.64348597082,1.95283981171399,0.254491801151763,7.67348811582908,1.67381047115506e-14,5.35022322830863e-13,"57540"
