"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"80834",11.9830951344618,-20.1357197227533,3.4039907606091,-5.91532737273066,9.72878064380206e-09,1.73339074556428e-05,"80834"
"731",10.3688946080718,-19.5543668288034,3.58203832101146,-5.4590054813489,1.15826308244299e-07,0.000112927100712832,"731"
"732",14.7071027534415,-19.6569950732692,3.69556987468134,-5.31907005951666,2.34049886855468e-07,0.000176459592247683,"732"
"1179",15.2728733659705,-20.0499556423917,3.74481251775853,-5.35406126403163,1.91349177883648e-07,0.000159005930326896,"1179"
"3744",8.74776235864888,-18.5543839484863,3.65136037611835,-5.08149895853634,8.06347383299149e-07,0.000461591330374473,"3744"
"11085",13.7169758827986,-19.8984639971597,4.28687398910773,-4.64171889533459,5.74975637086082e-06,0.00271954701948403,"11085"
"126638",46.4892013681252,-20.9323220626822,4.86138899252425,-4.30583154215214,2.3864015997457e-05,0.00888453753791892,"126638"
"49860",26.5748827810963,-20.0292404818998,4.23421516513624,-4.73033128944814,3.83311054479978e-06,0.00191226218858971,"49860"
"100129271",11.1294243822544,-19.3577123172217,4.42833634014992,-4.37132837939911,1.90944935821309e-05,0.0074420788736355,"100129271"
"57115",10.5672500141475,-18.7871255562645,3.80647467738244,-4.93557087556502,1.58573674557089e-06,0.000859882986554789,"57115"
"83417",13.3579419452832,-19.6576562723944,3.72168214702474,-5.28192776702048,2.81849027065479e-07,0.000195290059197814,"83417"
"910",7.0212136438385,-17.9690271511848,3.00246816825283,-5.98475192549373,8.07642319610848e-09,1.64737221156774e-05,"910"
"391107",9.32196485042385,-18.6253146696638,4.43503595447639,-4.19958594718151,4.01423599027395e-05,0.0128373208386402,"391107"
"391112",6.39289980773145,-17.7195148401195,4.35987032445655,-4.06422978700134,7.16067723562963e-05,0.020530567007534,"391112"
"128368",15.8432560563375,-19.9755910447318,4.9502493266839,-4.03526968572169,7.4540384736449e-05,0.0211288108734771,"128368"
"391211",4.34067008811382,-17.7710438445067,4.20237846944955,-4.2288061329313,3.68895934521057e-05,0.0119503119359653,"391211"
"388960",16.9283263312142,-20.1714391576326,3.70268814567341,-5.4477823581235,1.17707850326076e-07,0.000112927100712832,"388960"
"3694",15.0645101609558,-19.6844938106129,3.44902957596575,-5.70725573007042,3.12534454623012e-08,4.10308391374548e-05,"3694"
"3236",67.4714303837816,-9.40930018436039,2.28205109053438,-4.12317683131146,0.000116903684762181,0.0306952159232404,"3236"
"375337",17.01644388527,-20.2523673196932,3.73128518158975,-5.42771895850226,1.29805672336006e-07,0.000119921210768494,"375337"
"6474",140.031268765845,-7.12295546370965,1.64886128639275,-4.31992401209971,0.000102647300583649,0.0272386624016865,"6474"
"9982",6.92240107568906,-17.4431331044633,4.32168787613041,-4.03618530639507,8.08414664563735e-05,0.0219185819487802,"9982"
"80157",10.1227445400999,-19.3107678334455,3.09260014656831,-6.24418512521693,1.62715573296988e-09,4.50975251146673e-06,"80157"
"339967",9.91059632166133,-18.8353333224932,3.16124017979681,-5.95821014893713,8.58556717061444e-09,1.64737221156774e-05,"339967"
"10586",16.2388233222278,-20.1176071751862,2.46394099679907,-8.16480881698108,4.28674775986759e-15,5.34643180610686e-11,"10586"
"2243",21.232329229989,-20.3207978807182,4.71914957566543,-4.30602962565619,2.43104199195286e-05,0.00888669884707111,"2243"
"26531",5.17562334630946,-16.785126872411,3.71352892729139,-4.51999356974281,1.14917021960981e-05,0.00485845795897408,"26531"
"442194",22.9798992157123,-20.0570820207871,4.95544314662887,-4.04748504368003,7.08304090348142e-05,0.020530567007534,"442194"
