"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"388585",139.004829604438,2.94645422345448,0.51834657895701,5.68433234262525,8.66288111881645e-05,0.0216086906627758,"388585"
"10630",1800.54742134163,-3.17680921142971,0.46085892264689,-6.89323577198868,1.15981652006091e-06,0.000933240750851594,"10630"
"5320",348.555618955473,-6.86504645988277,1.01703403389507,-6.75006561342965,4.03920309175584e-09,1.00753881920758e-05,"5320"
"5322",183.659728667408,-2.88495300981051,0.544181806662052,-5.30145068154056,0.000266271942429274,0.0495663233728046,"5322"
"63950",131.528407757843,-3.7756723243041,0.57584487607456,-6.55675248869494,7.17166416194228e-07,0.000688038426367262,"63950"
"105378714",5.46797241234248,-3.90167135356044,0.779355264345985,-5.00628087350462,9.83690303683223e-05,0.0240560499363474,"105378714"
"200132",147.141428110337,-4.09835271236815,0.635488437590458,-6.44913812737117,5.42541251942967e-07,0.000601154879205931,"200132"
"9077",218.936663853252,-3.19444138947699,0.397625145541471,-8.03380124545926,1.70593472481863e-08,3.86843961598872e-05,"9077"
"1806",603.79766373984,-2.30535760159094,0.349252614566167,-6.60083133365974,9.29020903651771e-05,0.0229440568521681,"1806"
"9103",227.781578149558,-2.8414532578948,0.399778660860555,-7.10756610114793,2.05064766979405e-06,0.00143896109944041,"9103"
"3311",306.257225568561,-3.09531221470481,0.484057543365975,-6.39451291923071,7.50155094357225e-06,0.00353054125917861,"3311"
"2213",215.05254347695,-3.43164112160223,0.477712495730921,-7.183486201992,1.78864791877302e-07,0.000247866853810412,"2213"
"112268276",25.1578729845446,-2.58304775769073,0.450912828394403,-5.72848585144133,0.000223411874117011,0.0432403850167262,"112268276"
"1116",28242.5214936864,-5.21161540329402,0.68392480069215,-7.62015852915367,3.68324746901829e-10,1.53124874778654e-06,"1116"
"2331",574.938281647437,-3.05277364498988,0.559532244881454,-5.45593872903011,0.0001218783944817,0.0281493951106623,"2331"
"50486",142.095649953606,-4.55506198260115,0.593952612267609,-7.66906633377822,1.07909241544035e-09,3.845268744392e-06,"50486"
