"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"63950",131.528407757843,-3.8982251797354,0.675560568388839,-5.77035629689337,8.92946857106192e-06,0.0201113897365368,"63950"
"100506474",62.0624728766063,-3.66374009453856,0.605319451154517,-6.0525728812295,5.39877704010788e-06,0.0165054111058698,"100506474"
"107985900",5.23373689758103,4.10476184592493,0.58778223807013,6.98347377661858,6.38336138094139e-08,0.000780621263275323,"107985900"
"1295",570.469868462706,-3.99597580781107,0.668928000603613,-5.97370091281164,3.75368839163982e-06,0.0131153872403895,"1295"
"3576",1318.42364612032,-4.31603908389822,0.81848909910573,-5.27317845602814,2.54544423765446e-05,0.0345869306469738,"3576"
"4223",153.082885314125,-4.35045909754425,0.788475576626853,-5.51755720342764,1.07226016785983e-05,0.0204689848930052,"4223"
"101927524",46.9829028457627,-6.00428209584326,0.977830355494691,-6.1404128662028,1.5460914491858e-07,0.00126047682213954,"101927524"
"3486",3533.59828312699,-3.82954246600803,0.608330960276123,-6.29516285718844,1.64907877644235e-06,0.00672219478570449,"3486"
"283120",698.475564325548,-5.58016506826682,0.938007384195325,-5.9489564392436,5.22773789282032e-07,0.00291616832069759,"283120"
"102724852",755.310779619075,-5.61423904984658,0.950035804034235,-5.90950259559298,5.96158377769561e-07,0.00291616832069759,"102724852"
"10631",2574.27759786138,-6.63440407516246,0.914516595892768,-7.25454748985264,3.6126697380783e-10,8.83586764539192e-06,"10631"
"9953",170.366112809586,-3.47568587996315,0.5918236789804,-5.87284017758651,1.43750216645585e-05,0.0234389519914514,"9953"
"3589",29.7477949480649,-3.53791822109992,0.589555847322435,-6.00098911268196,8.35694768515688e-06,0.0201113897365368,"3589"
"109864281",128.450207361912,3.94423046522275,0.686741718326267,5.74339720446234,9.04510945710626e-06,0.0201113897365368,"109864281"
"109910381",646.98660192185,4.06142092077027,0.721008429791871,5.63297286543883,1.08797450163164e-05,0.0204689848930052,"109910381"
"106632260",104.817125146874,4.09042904132095,0.738252869930673,5.54068830332495,1.41869916898938e-05,0.0234389519914514,"106632260"
"3976",389.868240582675,-3.75332603536662,0.671752016696526,-5.58736846645337,2.07717143064164e-05,0.029884387559196,"3976"
"109864274",783.974562204425,4.1238801433882,0.751106983963391,5.49040314021258,1.59797595683104e-05,0.0244270599701084,"109864274"
"100008587",23.6435317447255,3.623703703121,0.663851470445501,5.45860612568829,3.87106964021203e-05,0.0498308532948979,"100008587"
