"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"80834",11.9830951344618,-19.13728837627,3.41549246151763,-5.60308318401808,2.1057210357705e-08,2.93537512386408e-05,"80834"
"731",10.3688946080718,-18.5328879985726,3.59692983278427,-5.15241855141413,2.57148312610971e-07,0.000165445268206012,"731"
"732",14.7071027534415,-20.0492253315068,3.66746349717627,-5.46678251792923,4.58277754851923e-08,4.59964216989778e-05,"732"
"1179",15.2728733659705,-19.1931078308815,3.71472612309724,-5.16676255391845,2.38183535564406e-07,0.000161527061469786,"1179"
"3744",8.74776235864888,-18.7240304704401,3.66899391890754,-5.10331466453215,3.33755363435001e-07,0.00019974522919535,"3744"
"11085",13.7169758827986,-18.7533484818301,4.23786241081186,-4.42519050028278,9.6357213698599e-06,0.00371968493250038,"11085"
"126638",46.4892013681252,-21.7238051456823,4.86138905907332,-4.46864155115025,7.87179135758823e-06,0.003185790141042,"126638"
"49860",26.5748827810963,-20.0292119419236,4.23421516512504,-4.73032454913805,2.24161184718941e-06,0.00108166393210917,"49860"
"100129271",11.1294243822544,-18.295674055392,4.37483254829575,-4.18202842129791,2.88919841995101e-05,0.00823815531288758,"100129271"
"57115",10.5672500141475,-18.7414852579159,3.77710375680039,-4.9618666747434,6.98189156753187e-07,0.000372743879175552,"57115"
"83417",13.3579419452832,-19.5739654215946,3.69357236904811,-5.29946714612202,1.1614113161785e-07,9.17822890791604e-05,"83417"
"910",7.0212136438385,-17.444025283434,3.01445843275589,-5.78678580997593,7.17459657466151e-09,1.20016651500938e-05,"910"
"391107",9.32196485042385,-18.2499745909904,4.3820416861923,-4.16471952982455,3.11735546735528e-05,0.00841082617063211,"391107"
"391112",6.39289980773145,-18.13571037547,4.31542813680196,-4.2025286485039,2.63949830778623e-05,0.00761267718838759,"391112"
"81442",5.84794409197223,-18.1083315552709,4.03883155098478,-4.48355702055848,7.34089748914328e-06,0.00308697096711906,"81442"
"391211",4.34067008811382,-17.6974618471423,4.24246722334079,-4.17150231586379,3.0259798107965e-05,0.00839679548178322,"391211"
"388960",16.9283263312142,-19.88863906402,3.67429371488577,-5.41291486400356,6.20069763325766e-08,5.76251500050745e-05,"388960"
"130574",203.520673760423,-3.73690826781741,0.826106318148241,-4.5235197767206,6.0819633682101e-06,0.00263208846655241,"130574"
"3694",15.0645101609558,-19.0494440892873,3.42798734079224,-5.55703454986646,2.74396462794192e-08,3.42039581560077e-05,"3694"
"3236",67.4714303837816,-9.40930003149006,2.2835213093797,-4.12052210454127,3.78014795855513e-05,0.00977850232742941,"3236"
"375337",17.01644388527,-19.9776672031736,3.7016145882007,-5.39701439119419,6.77589551018138e-08,5.92147607440728e-05,"375337"
"6474",140.031268765845,-7.12301144286422,1.65034389830069,-4.31607706139222,1.58826551979123e-05,0.00535680162637848,"6474"
"9982",6.92240107568906,-18.3383952449369,4.27938424594603,-4.28528830107026,1.82502362539505e-05,0.00565351763066821,"9982"
"80157",10.1227445400999,-19.0264542435003,3.10266742810451,-6.13228929119353,8.66233991740247e-10,2.17355433207463e-06,"80157"
"339967",9.91059632166133,-18.5720589815509,3.17169453216885,-5.85556357750855,4.75395109576656e-09,8.52043863535532e-06,"339967"
"10586",16.2388233222278,-19.9162927970539,2.46761727155778,-8.0710623266472,6.96891288048755e-16,8.74319809985968e-12,"10586"
"2243",21.232329229989,-20.6013344936591,4.7191496015392,-4.36547603554246,1.2684620894714e-05,0.00468062511014947,"2243"
"5617",9.29684134435949,-18.2025360631372,3.6394993563233,-5.00138460843849,5.692003147162e-07,0.000310486397757802,"5617"
"26531",5.17562334630946,-17.295169731567,3.73963912068744,-4.62482319106441,3.7491807462184e-06,0.00176694123934907,"26531"
"100507679",107.740666345558,-22.8043255979518,3.64184709242424,-6.2617471352351,3.80687896531927e-10,1.19402758747239e-06,"100507679"
"29113",37.7827348441496,-22.3213967962225,3.21739716580685,-6.93771879749413,3.98481885981288e-12,1.99974149660849e-08,"29113"
"83741",18.4603234361801,-20.0099344381555,3.60474759404741,-5.550994602562,2.84048857085413e-08,3.42039581560077e-05,"83741"
"6492",16.3304935671087,-20.170720235706,3.28388191830281,-6.14234029648992,8.13144180108686e-10,2.17355433207463e-06,"6492"
"7455",65.6000305926359,-21.1720404824515,3.9604043639938,-5.34592898516579,8.99544744762943e-08,7.52379224519726e-05,"7455"
"50833",6.04887961242274,-18.5381794586609,4.27575348036408,-4.33565207718251,1.45328657405398e-05,0.00513603756565669,"50833"
"130075",6.67207185706797,-18.1738676501646,3.2114206694621,-5.65913641366973,1.52136594197361e-08,2.24553613035305e-05,"130075"
"28600",4.14672914432469,-17.4698234855341,2.91463659812829,-5.99382560994149,2.04961165223137e-09,3.95606581367612e-06,"28600"
"259285",7.26676717837002,-18.2061427652247,3.57259744867364,-5.09605210964473,3.46809701761983e-07,0.00020237555899097,"259285"
"259287",4.96917194711046,-17.8560002129091,4.12425774707959,-4.32950637616019,1.49443943782972e-05,0.00513677731151004,"259287"
"1584",21.4800426391971,-20.3401492391038,4.40082952633984,-4.62188983176103,3.80259951079426e-06,0.00176694123934907,"1584"
"1585",17.2819554848693,-18.7102237732616,4.31950232560341,-4.33156932509531,1.48050316909187e-05,0.00513677731151004,"1585"
"347127",9.95951395477542,-18.7900562108739,3.41232357768542,-5.50652825943875,3.65979237696253e-08,3.99267436185842e-05,"347127"
"286234",28.2901707498454,-20.5329103104213,3.72185126118361,-5.51685407865856,3.45121760136682e-08,3.93627054788619e-05,"286234"
"138882",9.37228608567025,-19.0711551551572,4.25624418897561,-4.48074741683166,7.43820971955599e-06,0.00308697096711906,"138882"
"118461",33.2260811472678,-21.1804040761927,3.99777902667718,-5.29804272193532,1.17050583872674e-07,9.17822890791604e-05,"118461"
"4583",85.8920054965847,-22.4868376638767,3.70940087962498,-6.06212118711475,1.34337929987692e-09,3.06437030841014e-06,"4583"
"119774",10.8052015461067,-19.1326820702957,3.5462242550869,-5.39522621640488,6.84372732973901e-08,5.92147607440728e-05,"119774"
"119694",10.4312594923323,-18.9171019770983,4.43545550994697,-4.26497389832335,1.99925572706638e-05,0.00610417149657016,"119694"
"119692",3.40900616564726,-17.5093468640357,4.19507864252059,-4.1737827478522,2.99583449003319e-05,0.00839679548178322,"119692"
"390061",18.8537379364503,-19.8367838812802,4.31757130437604,-4.59443110092352,4.33931468092156e-06,0.00197967425406698,"390061"
"390067",3.83791732809166,-15.7506703607574,3.65716068300792,-4.30680293429242,1.65631044875249e-05,0.00543339018903322,"390067"
"26496",5.02498864848573,-17.7784631456946,4.00419562158434,-4.43995868979552,8.99761474153952e-06,0.00352762732960484,"26496"
"119765",8.48501553172006,-19.2766712859781,4.64387211346687,-4.15099098661165,3.31038804171411e-05,0.00874360597291478,"119765"
"219432",6.07784695388017,-18.4139784016645,4.27766161373693,-4.30468327427568,1.67224805137783e-05,0.00543339018903322,"219432"
"51350",19.1572650376561,-20.1058805315865,4.7542387062754,-4.22904312840824,2.34687356993635e-05,0.00684741297870266,"51350"
"3222",13.3014028279921,-20.5899123831995,2.22820855746196,-9.24056786078067,2.45192470619503e-20,6.15236947278458e-16,"3222"
"196477",16.7098178639816,-19.870776916626,4.77964456156568,-4.15737544092962,3.21924695957837e-05,0.0085933345435894,"196477"
"160897",360.676489841965,1.5324186303466,0.352476105880569,4.34758159427077,1.37646870100124e-05,0.00494466804252968,"160897"
"28678",3.79569353294044,-17.3076577919764,4.15294129805229,-4.16756620183713,3.07869115385006e-05,0.00839679548178322,"28678"
"5015",18.0713971120687,-19.4430619794147,3.39616715270953,-5.72500148112635,1.03432838495418e-08,1.62208548970439e-05,"5015"
"28468",16.0993210997438,-18.4417569083914,2.61807189773247,-7.04402232970147,1.86768194021787e-12,1.17159688109867e-08,"28468"
"123745",15.9549531586991,-18.6318320503969,3.401568575245,-5.47742361744241,4.31563196405547e-08,4.51199321841999e-05,"123745"
"27023",11.6724886015735,-17.8169293014247,2.64047092002885,-6.74763322189136,1.50276238306949e-11,5.38675910228279e-08,"27023"
"1544",11.0623954433024,-19.4853184740595,3.94527666346496,-4.93889786095418,7.85653475663483e-07,0.000410700354403085,"1544"
"390649",6.1468770784148,-17.9422793608256,4.15879991496354,-4.3142925189232,1.60114826230825e-05,0.00535680162637848,"390649"
"1014",18.3643606539762,-19.9119685070759,3.58797534891354,-5.54963916156932,2.8625981240083e-08,3.42039581560077e-05,"1014"
"3857",33.2581701362985,-20.5994178835724,3.99562610203055,-5.15549186974825,2.5296601828438e-07,0.000165445268206012,"3857"
"10481",20.0273821381961,-21.0114477535473,2.76511909167862,-7.59874965847921,2.99005559228487e-14,2.50088249738707e-10,"10481"
"124538",14.2446697564268,-20.478010350304,4.8165874343113,-4.25155997468818,2.12286643190592e-05,0.00626670170698627,"124538"
"347741",15.8374241071566,-19.2931243799113,4.48419139377636,-4.30247567191007,1.68900221084247e-05,0.00543339018903322,"347741"
"89778",6.55444197419528,-18.3202499239505,3.85216855731565,-4.75582769844235,1.97634983076592e-06,0.000991811399071568,"89778"
"58510",16.9632701146253,-19.8300923726161,4.07338288747529,-4.86821222566359,1.12612358688194e-06,0.000576667204939627,"58510"
"29124",3.44187069207787,-17.4320915454542,3.21655510786277,-5.41949102716816,5.9768949592422e-08,5.76251500050745e-05,"29124"
"148003",5.75026723697005,-17.201847506317,4.03537590819446,-4.262762106347,2.01915444849085e-05,0.00610417149657016,"148003"
"1553",7.70565183047036,-18.017227759924,3.45796560337157,-5.21035482318186,1.88479816724204e-07,0.000139098104742462,"1553"
"126206",25.0408793130112,-20.6072949303678,4.03828431575481,-5.10298268251477,3.34341607931002e-07,0.00019974522919535,"126206"
"114026",10.7823453377575,-18.9370301643326,4.22810013856829,-4.47885091263355,7.50459226025277e-06,0.00308697096711906,"114026"
"140881",7.1537769810566,-18.8927603360762,4.43994473467132,-4.25517916665573,2.08881684585697e-05,0.00623959432098133,"140881"
"140732",10.7301707071822,-18.8981887936901,4.24666533469725,-4.45012434563256,8.58205853002679e-06,0.00341811131167353,"140732"
"359710",15.0835045266094,-19.7453490360632,3.7992769024276,-5.19713343964128,2.023850899227e-07,0.000145092762181154,"359710"
"128861",8.68355116179847,-18.6361841211977,4.34385332949438,-4.29024248923407,1.78478130605408e-05,0.00561144931013142,"128861"
"51297",10.0684465180723,-19.0090781831587,4.43132192998033,-4.28970823684731,1.78907996497096e-05,0.00561144931013142,"51297"
"92747",21.6460370447852,-19.2588216185203,3.80984971782659,-5.05500821421033,4.30372244985565e-07,0.000245429553890405,"92747"
"140873",9.26412799065209,-18.8869022603127,2.77879723401663,-6.79679036279034,1.06975582333417e-11,4.4737188531835e-08,"140873"
"149708",6.60769953624833,-17.3849493970225,3.3602470344912,-5.17371169993605,2.29488834374404e-07,0.00015995371755896,"149708"
"6406",8.53305813139733,-19.0534403937028,3.60019280044351,-5.2923388967823,1.20761838647693e-07,9.18229107681188e-05,"6406"
"6407",8.56396014159974,-18.4905873314459,4.0877205643369,-4.52344700192229,6.0840559166284e-06,0.00263208846655241,"6407"
"57119",4.29342215675814,-17.6557052478338,2.91991946772757,-6.04664116355728,1.47896652265464e-09,3.09251899887086e-06,"57119"
"140832",5.06325843245771,-17.4667285346413,3.85222509770229,-4.53419208162565,5.78243898089866e-06,0.00259094569479838,"140832"
"158506",7.38199659429697,-17.7881128959652,3.74686050512031,-4.74747134878831,2.0597555661315e-06,0.0010133997385367,"158506"
"9383",1830.41112295813,-9.4711542663193,2.27127794411306,-4.16996708433137,3.04643635739298e-05,0.00839679548178322,"9383"
"7503",3372.2199640633,-9.8969526743531,2.27667410550115,-4.34710995765226,1.37943074676023e-05,0.00494466804252968,"7503"
"389874",3.44755115750413,-16.1405887802436,3.91026246216391,-4.12775074216155,3.66328885909994e-05,0.00957492125547248,"389874"
"139760",4.32716332934168,-16.9335608560542,3.87733780848822,-4.36731636304257,1.25782472958622e-05,0.00468062511014947,"139760"
"83844",9.96413477363346,-18.7545792977216,3.66656771268982,-5.1150233044416,3.13702223163386e-07,0.000196785404590392,"83844"
"51442",5.75701391486226,-18.375037067826,3.65446648890982,-5.02810386238009,4.95353569098105e-07,0.000276209150129103,"51442"
"2158",5.54661234081862,-17.8125677329777,4.05864102626009,-4.38880098479452,1.13977310484297e-05,0.00433321011313935,"2158"
