"","Original","Abbreviated"
"anaplastic astrocytomas","anaplastic astrocytomas","AA"
"anaplastic oligodendroastrocytomas","anaplastic oligodendroastrocytomas","AOA"
"anaplastic oligodendrogliomas","anaplastic oligodendrogliomas","AO"
"astrocytomas","astrocytomas","AST"
"oligodendroastrocytomas","oligodendroastrocytomas","OA"
"oligodendrogliomas","oligodendrogliomas","OD"
"primary Glioblastomas","primary Glioblastomas","pGBM"
"recurrent anaplastic astrocytomas","recurrent anaplastic astrocytomas","rAA"
"recurrent anaplastic oligodendroastrocytomas","recurrent anaplastic oligodendroastrocytomas","rAOA"
"recurrent anaplastic oligodendrogliomas","recurrent anaplastic oligodendrogliomas","rAO"
"recurrent astrocytomas","recurrent astrocytomas","rAST"
"recurrent Glioblastomas","recurrent Glioblastomas","rGBM"
"recurrent oligodendroastrocytomas","recurrent oligodendroastrocytomas","rOA"
"secondary Glioblastomas","secondary Glioblastomas","sGBM"
