"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006261","GO:0006261","DNA-templated DNA replication","116/7300","160/18888",0.725,1.87586301369863,8.83057849041166,2.90908173915766e-18,1.84726690436512e-14,1.27632133566412e-14,"7083/1017/990/10714/5111/5888/5982/5932/4175/84515/84296/144455/672/9837/4171/4172/26271/8914/51659/92667/11169/55388/8318/23649/348654/81620/23594/8317/5424/5965/50485/5813/4173/4174/580/79075/4998/5983/5984/146956/9401/10926/675/3159/6240/5558/55159/253714/3978/2237/5557/4796/5001/10293/29980/63901/79733/5426/5427/10269/79915/54107/10498/4176/1025/91607/1763/11177/9134/1663/11284/10721/90381/58525/64863/6742/545/57662/54108/11073/6117/54962/378708/63922/57804/64318/22891/222229/25842/56655/92797/254394/2260/898/4999/201254/3980/64710/5425/57697/7486/54921/5422/7014/2021/8882/201973/4361/8099/5423/5428/997/80198/56897/25792/259282",116
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","281/7300","494/18888",0.568825910931174,1.47177860351617,8.43339225708667,7.80636382310893e-17,1.85297424219252e-13,1.2802646732629e-13,"5327/991/3688/22943/2048/1636/1009/27091/3745/23236/5216/5923/2550/4804/259232/5908/2171/148/116443/4218/84885/84628/10718/26509/6533/9378/3269/1139/22941/3908/22849/1956/4915/6347/6529/23385/64854/9241/41/3356/9590/1000/120892/55638/2891/2149/4137/23096/9145/112755/729956/2894/23025/57555/6722/2900/57338/7143/23237/58512/3766/9215/5071/11178/84502/9899/4983/29/7101/613/5764/4297/23345/5924/9912/9229/10858/26012/10815/952/9254/5789/84896/4130/8224/23542/9228/5530/10369/9783/2648/80863/57465/6543/9693/64101/2982/1742/5786/7804/6812/128977/10874/5048/477/729230/5579/57689/6855/8541/9495/5601/55607/348/785/2890/760/2915/5582/8831/65018/440275/23191/9775/5581/6507/575/815/5641/7305/134957/2892/2905/5532/5864/114781/147381/4763/1128/5594/6792/10675/10211/440829/2893/2903/23228/6623/10814/50944/6844/80307/8878/114/2904/6780/59283/5590/54407/468/6616/5999/57406/23349/2902/112476/6857/7474/23208/5534/57282/94056/22854/793/79012/84446/22999/26059/1138/8526/6804/2912/136/26045/5621/3815/27253/9148/9066/2911/5335/9699/6860/5906/1268/54899/6853/4355/5270/6547/1201/627/8499/6505/85358/1816/5575/440279/3706/23732/28964/22986/5566/4311/5743/347733/1759/23394/8564/1136/1959/9581/3786/5021/23316/9001/5914/4744/1977/107/200933/5413/773/57502/774/10458/4747/54915/9162/81539/3156/54434/22883/2898/2897/816/91683/57512/56853/26001/57497/6622/135/8898/23657/23154/84866/154/2332/59284/4761/23557/2913/388336/7425/8938/10013/10755/8525/7349/152404/5595/266743/488/10368/11170/7476/26232/2899/25769/1605",281
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","280/7300","493/18888",0.567951318458418,1.4695156853483,8.38421383141074,1.16722786909765e-16,1.85297424219252e-13,1.2802646732629e-13,"5327/991/3688/22943/2048/1636/1009/27091/3745/23236/5216/5923/2550/4804/259232/5908/148/116443/4218/84885/84628/10718/26509/6533/9378/3269/1139/22941/3908/22849/1956/4915/6347/6529/23385/64854/9241/41/3356/9590/1000/120892/55638/2891/2149/4137/23096/9145/112755/729956/2894/23025/57555/6722/2900/57338/7143/23237/58512/3766/9215/5071/11178/84502/9899/4983/29/7101/613/5764/4297/23345/5924/9912/9229/10858/26012/10815/952/9254/5789/84896/4130/8224/23542/9228/5530/10369/9783/2648/80863/57465/6543/9693/64101/2982/1742/5786/7804/6812/128977/10874/5048/477/729230/5579/57689/6855/8541/9495/5601/55607/348/785/2890/760/2915/5582/8831/65018/440275/23191/9775/5581/6507/575/815/5641/7305/134957/2892/2905/5532/5864/114781/147381/4763/1128/5594/6792/10675/10211/440829/2893/2903/23228/6623/10814/50944/6844/80307/8878/114/2904/6780/59283/5590/54407/468/6616/5999/57406/23349/2902/112476/6857/7474/23208/5534/57282/94056/22854/793/79012/84446/22999/26059/1138/8526/6804/2912/136/26045/5621/3815/27253/9148/9066/2911/5335/9699/6860/5906/1268/54899/6853/4355/5270/6547/1201/627/8499/6505/85358/1816/5575/440279/3706/23732/28964/22986/5566/4311/5743/347733/1759/23394/8564/1136/1959/9581/3786/5021/23316/9001/5914/4744/1977/107/200933/5413/773/57502/774/10458/4747/54915/9162/81539/3156/54434/22883/2898/2897/816/91683/57512/56853/26001/57497/6622/135/8898/23657/23154/84866/154/2332/59284/4761/23557/2913/388336/7425/8938/10013/10755/8525/7349/152404/5595/266743/488/10368/11170/7476/26232/2899/25769/1605",280
"GO:0050808","GO:0050808","synapse organization","280/7300","493/18888",0.567951318458418,1.4695156853483,8.38421383141074,1.16722786909765e-16,1.85297424219252e-13,1.2802646732629e-13,"991/1282/3371/3688/2316/22943/3690/87/2048/3556/11329/8829/3675/6405/10810/5216/23077/1134/7846/577/203068/5908/998/71/51150/1004/378/2213/5457/26050/84885/84628/10718/6585/7855/9378/23129/1139/22941/57549/831/10243/2064/382/3913/64218/4915/8321/6529/2823/8404/1942/11122/1488/60/1000/120892/4038/6259/85461/55638/2149/4137/57731/5754/8927/10611/729956/5978/2894/23025/9762/6386/57555/10152/7248/7143/23237/58512/2565/9215/347731/11178/4983/56097/56122/9379/9806/712/5783/9912/718/23607/2596/728/54583/9254/1501/11079/5789/26052/9252/22859/547/375323/713/9758/114798/10369/28988/80863/4739/782/6543/64101/1742/375790/7804/5048/57689/8541/1981/1432/23284/348/785/2066/2890/2915/1008/8831/7415/389941/2743/23191/1826/51225/575/5641/654429/9026/2017/23229/5864/147381/11141/4763/3764/9723/5364/23181/6792/1821/714/2562/6092/145581/2561/6623/50944/2904/22891/6780/8828/388/6616/5911/2554/56850/57717/386724/7474/22899/6712/57463/9423/2557/257194/221935/22854/5098/79012/783/63827/26059/26045/22866/5621/2049/84966/27253/1006/1072/9148/6853/256158/6547/1201/84631/158866/627/8292/8499/6505/85358/23654/2566/440279/3706/23732/1639/288/27286/23394/8443/2567/6495/56098/8496/158038/8495/2558/8500/5021/23316/27445/40/5800/4744/102/200933/3911/57502/25791/10458/4747/10507/5818/10154/1499/83992/4884/23012/54434/22883/7087/816/3587/3480/6620/8936/8497/57512/23768/8851/57497/6622/8898/23657/54209/57633/2258/4761/23557/388336/7097/10013/3897/285489/27255/140689/2556/57622/347902/266743/1398/6710/7476/404037/1605",280
"GO:0006260","GO:0006260","DNA replication","174/7300","278/18888",0.62589928057554,1.6194500837686,8.25836748376757,3.88873374865804e-16,4.93869186079571e-13,3.41226152934878e-13,"7083/1017/990/7465/1111/10714/890/983/5111/5888/5982/5932/4175/9768/84515/84296/144455/672/9837/4171/4172/157570/26271/8914/374393/51659/92667/51514/11169/55388/6282/8318/23649/348654/10535/81620/23594/8317/5424/5965/5937/50485/5813/4173/4174/8208/580/79075/4998/5983/993/5984/146956/10036/9401/10926/675/116028/86/3159/6240/5558/55159/998/253714/64061/27000/3978/2237/5557/4796/84897/83743/5001/10293/29980/63901/79733/5426/5427/4678/10269/1956/6118/5763/6119/94/23338/79915/54107/10498/4176/1025/2735/91607/8607/1763/23244/11177/9134/1663/11284/10721/90381/80119/58525/6418/11124/64863/466/6742/545/57662/23175/10856/5928/54108/11073/6117/5884/54962/84289/10361/378708/63922/57804/5429/64318/22891/222229/25842/56655/27343/92797/254394/2260/7150/6749/898/5753/4999/201254/7157/3980/9767/64710/5425/57697/80169/7486/54921/5422/10445/79960/7014/6416/114799/2021/4142/8882/116447/201973/4361/7126/8099/5423/5428/2736/7349/997/80198/56897/25792/259282",174
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","276/7300","500/18888",0.552,1.42824328767123,7.70277116723643,2.38654698631603e-14,2.26539155359145e-11,1.56521375803882e-11,"1278/1894/1017/1281/890/10630/2305/7042/89839/3688/9824/10252/29127/9928/128239/8727/85360/2048/8829/9743/3675/57381/117/390/5923/4804/10451/10633/5908/4893/998/50848/2059/389/10188/148170/8567/10750/9620/28511/10602/23636/81848/10276/2828/9077/8153/283455/5880/2064/57568/1795/382/9411/253959/50649/403/221938/128272/25959/4650/6016/6478/23682/79930/8477/27314/23075/408/120892/85442/9266/51196/4038/9901/57186/4649/139818/2149/10144/65979/9886/5912/23096/4924/6386/10152/84078/84084/22931/64121/397/2203/30851/93663/11021/10411/4983/29/613/57221/9046/27289/55114/10253/202243/9938/57139/8625/5924/51195/9912/154796/10161/255426/23092/9815/23607/80230/6237/10287/396/11069/11261/153478/55667/54453/100271927/28988/286530/23108/10900/23094/8997/7052/9693/57514/8844/89890/286205/55843/6453/8729/7410/5898/5294/50861/10156/83892/84253/64333/23433/5662/348/23348/65078/5877/8831/7984/23191/80243/51495/10982/57480/11186/4168/1029/1452/3685/23229/2151/5291/8859/6242/1123/4763/79109/5364/10211/5909/84144/27128/11188/8878/25894/220164/5925/388/5911/9828/5867/8615/257106/10260/22899/55845/23189/9267/64787/1793/9423/7409/440073/84249/152273/10044/64283/2885/199/6494/85440/1072/7157/643338/394/5906/221178/399/50650/10971/56990/22821/23221/51571/28964/10125/9402/22808/5962/201176/50619/9170/2859/9826/4925/10787/25791/9265/8437/10507/9639/2150/121512/393/9649/9290/398/4233/57572/8936/9138/83452/57493/23179/7126/9732/23263/22898/54869/2247/26030/5516/10395/10564/23365/9922/7249/10146/1398/5922/9750/440730/1718/2846/51306/10928",276
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","253/7300","451/18888",0.560975609756098,1.45146675576345,7.70207238999995,2.49728202758113e-14,2.26539155359145e-11,1.56521375803882e-11,"891/9133/55143/1017/11200/332/990/1031/991/7465/10460/1111/1033/10403/83540/890/6241/6790/7272/9833/11065/699/983/55055/1063/2305/51512/701/9787/1164/5932/3688/113130/9212/147841/1163/5347/144455/586/672/1062/11130/6491/4085/1869/9319/9735/26271/9928/128239/1019/51514/63967/1021/348654/995/8317/27338/2146/580/4998/57082/51776/993/6605/10926/5933/645121/84930/23236/86/23137/10106/83903/10783/6240/55159/2059/1104/10537/79616/9510/835/26524/899/27085/29980/9183/5426/10657/51692/9700/1956/6118/10459/163786/8493/994/55920/25959/1978/6347/219736/90/64859/5721/28984/79915/60/51499/10385/29766/51379/637/57504/3619/1263/10763/286053/4193/1022/1871/4582/6868/116224/57405/894/91607/23122/6502/84967/8379/678/7319/10457/9134/10083/3624/23026/996/5311/8554/4303/90381/51434/5530/55743/595/84687/8462/5371/9274/1981/6595/785/9024/51720/6602/11073/55755/51339/815/5884/1029/55198/5988/10776/25949/10361/23476/79184/3364/6601/79176/9088/5925/8454/126520/60561/55835/57099/54619/4921/5889/84446/472/7756/199/1843/219771/8451/9150/898/7157/54908/84142/9275/27243/79831/8720/58493/26058/80169/51347/27133/143384/605/51433/9587/801/9344/5962/131601/8697/808/79960/51322/79935/5777/1654/51529/123879/1977/9577/5218/324/51412/900/79027/10263/6873/8555/27183/79577/3275/10217/4361/7480/245711/10197/57551/56155/284001/3400/6603/1112/79621/5934/677/997/23194/55844/11170",253
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","124/7300","191/18888",0.649214659685864,1.6797762318009,7.49437416746453,1.47751347536723e-13,1.17277632107274e-10,8.1029949543824e-11,"891/55143/1017/11200/332/990/991/1111/10403/83540/7272/699/983/55055/1063/5888/51512/701/5932/9212/147841/5347/144455/83990/672/11130/4085/1869/9319/9735/2177/8914/51514/63967/8318/348654/81620/580/4998/57082/51776/146956/675/79968/83903/83666/55159/835/29980/9183/83695/6118/10459/151636/4436/5810/3014/64859/51499/25896/3619/1263/4193/1407/4582/116224/57405/1763/8379/261726/80185/4303/90381/55743/5883/9675/595/545/5371/57662/1432/440275/51720/11073/55755/5884/54962/25949/79184/3364/60561/84446/472/7756/1843/8451/7157/54908/84142/54888/8720/58493/26058/51347/9587/9344/51322/84444/5781/9577/324/10116/900/57646/7158/8555/27183/988/4361/57551/56155/1112/79621/80198",124
"GO:0051656","GO:0051656","establishment of organelle localization","259/7300","472/18888",0.548728813559322,1.41977942883678,7.33049286593574,3.71816121528256e-13,2.6233693018938e-10,1.81254923336815e-10,"891/1894/55143/220134/6382/332/4751/10403/83540/1058/11004/55055/1063/4001/84823/51203/3688/113130/151648/9212/147841/79980/221150/5347/3833/1062/11130/3598/10252/4085/29127/9735/81610/81930/9928/636/81620/10615/57082/22906/27436/5873/10079/56907/7846/998/54732/583/10959/84364/55686/1861/8841/3676/6585/5819/84946/90417/23636/9183/4000/1778/4645/91272/8723/81/9700/5880/4627/157769/2242/11267/23195/55920/56245/23233/84722/63915/29058/120892/5901/3619/8673/55638/30817/54820/84709/4137/79998/10540/11127/11336/10239/57405/23122/23025/6386/7248/51112/2669/11314/8379/4067/10972/5071/10113/54984/54874/10253/59349/29109/3835/55773/3692/6795/26286/10597/79036/153241/26052/547/3837/9892/10652/150465/55062/119032/8729/6812/5294/22820/4133/5048/4644/55341/3566/56776/2624/10312/23291/10342/65018/8409/6813/55755/8867/5170/79443/118426/8546/25893/6059/8850/5864/57102/111240474/55930/10814/80179/5590/2294/5925/6616/117583/55088/27095/6571/8120/63971/23208/8678/89866/9423/4669/4647/84501/472/7756/8618/6517/23353/3064/136/85440/3815/1072/54908/84142/6860/27243/55512/55763/83930/1201/695/8499/199953/4976/10059/64149/1780/440279/10125/1639/4292/137886/1759/4926/8697/9001/284021/4744/7462/128153/161424/5413/1001/324/7514/4747/1499/553115/162282/3965/55153/10128/122553/56288/1113/27183/6993/92558/6622/6850/30850/245711/56155/55330/23557/5871/9919/8938/10013/3281/9638/10494/11243/23513/7320/83696/4134/149371/348235/55166/283489/3996/58485/55770/84376",259
"GO:0042770","GO:0042770","signal transduction in response to DNA damage","120/7300","188/18888",0.638297872340426,1.65153016613232,7.12576222983125,2.07261171272886e-12,1.31610843758283e-09,9.09331117753041e-10,"1017/11200/1111/983/5888/2305/51512/7291/5347/144455/83990/672/1869/2177/51514/63967/960/8444/602/580/51776/146956/675/79968/387893/1647/83666/55159/6591/10538/835/6672/29980/22976/10269/83695/6118/10459/8493/151636/4436/5810/3014/79915/22925/28996/51499/1655/637/25896/1263/83667/4193/1407/8533/4582/200734/4282/261726/80185/4303/90381/6615/5883/9675/595/545/5371/23028/1432/440275/4646/64844/51720/11073/5884/54962/2309/25949/4487/25946/79184/3364/972/60561/84446/472/2885/8451/7157/84142/8720/26058/6300/51347/3090/9344/51322/161742/340485/84444/5781/9577/10116/900/57646/7158/8555/56950/988/4361/842/57551/27330/10397/1112/79621/5595/10467/80198",120
