"hgnc_symbol","entrezgene_id"
"ABCC3",8714
"ABCC8",6833
"ACE",1636
"ACP5",54
"ACSL6",23305
"ACTA2",59
"ACTA2-AS1",NA
"ACTG2",72
"ACTN1",87
"ACY3",91703
"ADAM12",8038
"ADAM19",8728
"ADAM8",101
"ADAMDEC1",27299
"ADAMTS1",9510
"ADAMTS14",140766
"ADAMTS15",170689
"ADAMTS2",9509
"ADAMTS3",9508
"ADAMTS7",11173
"ADARB2",105
"ADCYAP1R1",117
"ADGRE1",2015
"ADM",133
"ADRA1A",148
"AEBP1",165
"AFAP1L1",134265
"AKNAD1",254268
"ALDOC",230
"ALOX5AP",241
"ALPK2",115701
"ANG",283
"ANGPT2",285
"ANGPTL4",51129
"ANPEP",290
"ANXA1",301
"ANXA2",302
"ANXA2P2",NA
"APLN",8862
"APOBEC3C",27350
"APOL1",8542
"APOL4",80832
"AQP1",358
"ARAP3",64411
"ARC",23237
"ARHGAP11A",9824
"ARHGAP11B",89839
"ARL4C",10123
"ARSJ",79642
"ASF1B",55723
"ASIC4-AS1",NA
"ASPM",259266
"ASPN",54829
"ATF5",22809
"ATOH8",84913
"ATP23",91419
"AURKA",6790
"AURKB",9212
"B3GNT7",93010
"BACE2",25825
"BANK1",55024
"BATF",10538
"BCAT1",586
"BCL2A1",597
"BCL3",602
"BDKRB2",624
"BGN",633
"BIRC5",332
"BRCA2",675
"BRIP1",83990
"BUB1",699
"BUB1B",701
"C10orf55",414236
"C11orf87",399947
"C1QL3",389941
"C1QTNF1",114897
"C1R",715
"C1RL",51279
"C1RL-AS1",283314
"C1S",716
"C2",717
"C4orf50",389197
"C6orf141",135398
"C7orf57",136288
"CA12",771
"CA3",761
"CA3-AS1",NA
"CA9",768
"CABP1",9478
"CABP4",57010
"CACNG2",10369
"CACNG5",27091
"CALD1",800
"CALHM5",254228
"CALHM6",441168
"CALN1",83698
"CALU",813
"CAMK1G",57172
"CAMK2A",815
"CAPG",822
"CAPN5",726
"CARD16",114769
"CASP1",834
"CASP4",837
"CAV1",857
"CAV2",858
"CAVIN1",284119
"CAVIN3",112464
"CBLN2",147381
"CBX2",84733
"CCDC150",284992
"CCDC8",83987
"CCL2",6347
"CCN1",3491
"CCN4",8840
"CCNA2",890
"CCNB1",891
"CCNB2",9133
"CCR2",729230
"CCR5",1234
"CCR7",1236
"CD101",9398
"CD14",929
"CD163",9332
"CD248",57124
"CD274",29126
"CD276",80381
"CD28",940
"CD300LG",146894
"CD44",960
"CD52",1043
"CD58",965
"CD8B2",927
"CD93",22918
"CDC20",991
"CDC25A",993
"CDC25C",995
"CDC42EP5",148170
"CDC45",8318
"CDC6",990
"CDCA2",157313
"CDCA4",55038
"CDCA5",113130
"CDCA7",83879
"CDCA7L",55536
"CDCA8",55143
"CDK1",983
"CDK2",1017
"CDK4",1019
"CDK6",1021
"CDKN2C",1031
"CDKN3",1033
"CDT1",81620
"CELSR1",9620
"CEMIP2",23670
"CENPA",1058
"CENPE",1062
"CENPF",1063
"CENPH",64946
"CENPI",2491
"CENPK",64105
"CENPM",79019
"CENPU",79682
"CENPW",387103
"CEP55",55165
"CES1",1066
"CFAP100",348807
"CFAP107",93190
"CFB",629
"CFH",3075
"CFI",3426
"CGAS",115004
"CHAF1B",8208
"CHEK1",1111
"CHEK2",11200
"CHI3L1",1116
"CHI3L2",1117
"CHIC2",26511
"CHRNA1",1134
"CISH",1154
"CKAP2L",150468
"CKS2",1164
"CLCF1",23529
"CLEC12A",160364
"CLEC18A",348174
"CLEC18B",497190
"CLEC18B",124907806
"CLEC18B",128966624
"CLEC18C",283971
"CLEC18C",348174
"CLEC18C",124907806
"CLEC2B",9976
"CLEC5A",23601
"CLIC1",1192
"CLSPN",63967
"CMYA5",202333
"CNN1",1264
"CNPY1",285888
"CNTN3",5067
"CNTNAP2",26047
"COCH",1690
"COL12A1",1303
"COL14A1",7373
"COL15A1",1306
"COL18A1",80781
"COL1A1",1277
"COL1A2",1278
"COL3A1",1281
"COL4A1",1282
"COL4A2",1284
"COL4A2-AS1",100874203
"COL4A2-AS2",100129836
"COL5A1",1289
"COL5A2",1290
"COL6A1",1291
"COL6A2",1292
"COL6A3",1293
"COL8A1",1295
"COL8A2",1296
"COLEC11",78989
"CP",1356
"CPE",1363
"CPZ",8532
"CREG2",200407
"CRIP1",1396
"CRLF1",9244
"CRNDE",101927480
"CRYBG1",202
"CSDC2",27254
"CSTA",1475
"CTHRC1",115908
"CTSC",1075
"CXCL10",3627
"CXCL11",6373
"CXCL8",3576
"CXCL9",4283
"CYP19A1",1588
"CYP27B1",1594
"CYTOR",112597
"DAO",1610
"DCBLD2",131566
"DDIAS",220042
"DDIT4L",115265
"DDN",23109
"DENND2D",79961
"DEPDC1",55635
