GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
10631,2.36E-39,1.21E-43,0.3895,13.85333402,5.4,379.09,POSTN,periostin
3485,2.09E-37,2.15E-41,0.2402,13.47660393,3.24,1290.1,IGFBP2,insulin like growth factor binding protein 2
4015,4.59E-37,7.09E-41,0.2598,13.38821318,3.48,272.61,LOX,lysyl oxidase
10051,3.40E-34,7.00E-38,0.1283,12.8659403,1.65,645.57,SMC4,structural maintenance of chromosomes 4
3213,1.77E-33,4.56E-37,0.323,12.72037622,4.11,70.25,HOXB3,homeobox B3
55635,4.32E-33,1.33E-36,0.1965,12.63611142,2.48,51.63,DEPDC1,DEP domain containing 1
1116,2.14E-32,7.72E-36,0.3909,12.49728004,4.88,11815.51,CHI3L1,chitinase 3 like 1
5806,5.37E-32,2.21E-35,0.2782,12.41342373,3.45,217.9,PTX3,pentraxin 3
891,3.33E-31,1.54E-34,0.1322,12.25692713,1.62,230.39,CCNB1,cyclin B1
5327,9.77E-31,5.02E-34,0.2028,12.16083628,2.47,638.35,PLAT,"plasminogen activator, tissue type"
761,6.89E-30,3.90E-33,0.2796,11.99230172,3.35,111.49,CA3,carbonic anhydrase 3
4057,1.37E-29,8.46E-33,0.381,11.92794831,4.55,905.1,LTF,lactotransferrin
1290,9.88E-29,6.60E-32,0.2032,11.75565079,2.39,1063.71,COL5A2,collagen type V alpha 2 chain
1278,1.57E-28,1.13E-31,0.257,11.71035553,3.01,3073.68,COL1A2,collagen type I alpha 2 chain
9133,5.92E-28,4.57E-31,0.1917,11.59115479,2.22,117.56,CCNB2,cyclin B2
7076,1.25E-27,1.03E-30,0.2869,11.52138923,3.31,1505.13,TIMP1,TIMP metallopeptidase inhibitor 1
1277,1.35E-27,1.18E-30,0.2933,11.50947081,3.38,2064.22,COL1A1,collagen type I alpha 1 chain
7083,3.68E-27,3.41E-30,0.1466,11.41774587,1.67,83.83,TK1,thymidine kinase 1
4318,3.85E-27,3.77E-30,0.3097,11.40905176,3.53,171.74,MMP9,matrix metallopeptidase 9
55165,1.07E-26,1.10E-29,0.201,11.31542213,2.27,71.48,CEP55,centrosomal protein 55
9493,1.33E-26,1.43E-29,0.1782,11.2922902,2.01,120.81,KIF23,kinesin family member 23
1894,2.75E-26,3.11E-29,0.1206,11.22401631,1.35,311.24,ECT2,epithelial cell transforming 2
196410,3.05E-26,3.61E-29,0.2346,11.21075724,2.63,313.22,METTL7B,methyltransferase like 7B
55143,3.71E-26,4.70E-29,0.1702,11.18740155,1.9,98.9,CDCA8,cell division cycle associated 8
1292,3.71E-26,4.77E-29,0.2277,11.18613107,2.55,1438.82,COL6A2,collagen type VI alpha 2 chain
10052,4.21E-26,5.63E-29,0.1549,11.17142062,1.73,322.04,GJC1,gap junction protein gamma 1
871,5.38E-26,7.47E-29,0.1845,11.14625559,2.06,1006.06,SERPINH1,serpin family H member 1
79801,6.34E-26,9.14E-29,0.1425,11.1282969,1.59,106.02,SHCBP1,SHC binding and spindle associated 1
10643,6.71E-26,1.00E-28,0.2546,11.12013639,2.83,105.22,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3
220134,9.65E-26,1.49E-28,0.1763,11.08466094,1.95,41.61,SKA1,spindle and kinetochore associated complex subunit 1
1017,1.19E-25,1.90E-28,0.1265,11.06286248,1.4,301.36,CDK2,cyclin dependent kinase 2
6382,1.22E-25,2.01E-28,0.1994,11.05782018,2.21,132.68,SDC1,syndecan 1
1281,1.41E-25,2.40E-28,0.3139,11.04189083,3.47,2395.11,COL3A1,collagen type III alpha 1 chain
64105,1.76E-25,3.08E-28,0.1648,11.01933047,1.82,72.78,CENPK,centromere protein K
115908,4.91E-25,8.84E-28,0.2255,10.92408551,2.46,92.71,CTHRC1,collagen triple helix repeat containing 1
11200,4.93E-25,9.14E-28,0.1228,10.92112371,1.34,75.9,CHEK2,checkpoint kinase 2
9232,6.87E-25,1.31E-27,0.1697,10.88852697,1.85,168.92,PTTG1,"PTTG1 regulator of sister chromatid separation, securin"
332,7.17E-25,1.40E-27,0.2095,10.88222436,2.28,221.83,BIRC5,baculoviral IAP repeat containing 5
